10 ps,Y10 ps,0.2 ps,Y0.2 ps,2.5 ps,Y2.5 ps,100 ps,Y100 ps
X,Y,X,Y,X,Y,X,Y
429.751345046532,0.0040596557628188,433.832335329341,0.00565693430656937,433.366567276969,0.00535073293082217,440.133521708298,0.0032651467363552
432.6249832297,0.00432449210497334,440.347305389222,0.00894160583941608,440.597011737841,0.00875448182828559,446.158892092359,0.00416799790279113
435.869413436502,0.00644318284220964,446.095808383234,0.010036496350365,446.71508012781,0.00969344704137895,451.44267842915,0.0038610285062029
440.736058746704,0.00783357363852096,450.694610778443,0.0116788321167883,452.555054500053,0.00862808266498456,458.395028872297,0.00360565060483961
446.436986110084,0.00823082815175276,457.209580838323,0.00784671532846719,458.209632860479,0.0061783465000551,467.015943421798,0.0032651467363552
449.681416316886,0.00842945540836866,493.233532934132,0.0116788321167883,464.791191279991,0.00525141930251422,474.98797192994,0.00273547405204612
453.500574160321,0.0073171427713196,497.065868263473,0.0204379562043796,476.749234042204,0.00507084906922703,485.31452978816,0.00294734312576975
457.282652801393,0.00670801918436417,501.22150760208,0.028530533777898,482.756064825082,0.00596647742633147,490.415568627589,0.0032651467363552
460.341686996378,0.00631076467113237,507.02994011976,0.0204379562043796,488.985370822142,0.00835722731505378,496.772003318466,0.00557644572243116
464.791191279991,0.00511900113143694,515.844311377246,0.00729927007299273,494.825345194385,0.0138718422396444,502.506838175501,0.00751141449641046
468.128319492702,0.00564867381574602,521.976047904192,0.00291970802919711,498.59880239521,0.020985401459854,509.008140098404,0.00449302432270805
470.816561664052,0.00485416478928241,606.287425149701,-0.00693430656934305,502.006636931898,0.0255343376997878,588.63572717391,-0.00534203438366723
482.589208414447,0.00564867381574602,617.784431137725,-0.0085766423357664,505.671011885694,0.020801095963302,594.522050549108,-0.00726209786428762
485.759480216522,0.00676098645279508,632.481883968688,-0.0358246973656544,510.398610187033,0.0118855696734854,601.474400992254,-0.00904974317383074
488.799974810324,0.0069728555265187,635.262824145947,-0.0450410020726322,515.31160450019,0.00551625564466875,607.731516391086,-0.0102415067135262
492.461546043715,0.00912465080652432,637.76567030548,-0.055000740225801,521.244276878342,0.00299142410861797,613.849584781055,-0.0102415067135262
495.325914426291,0.0123225496380403,639.990422447287,-0.0645036356887533,608.395209580838,-0.00802919708029194,627.568889655531,-0.0118305247664534
498.594859663389,0.0181113138686132,642.029778577276,-0.0738750588247074,623.249162580189,-0.0149688354209846,633.03807200414,-0.0140695956592145
502.420360924242,0.0207532316041373,643.685100111359,-0.08373359166141,628.588567720526,-0.0220708633297621,639.156140394109,-0.0173198598583838
506.351001700303,0.0168775595005658,646.256562321174,-0.0951083125569473,633.455213030729,-0.0311966822865038,645.274208784078,-0.0212924049907018
509.564328133856,0.0104157279745277,648.889431014514,-0.103794944579616,636.931388252302,-0.0392410861794479,651.281039566957,-0.026290589048091
512.484315319977,0.00684043735544145,653.465540797691,-0.110250622457187,639.712328429561,-0.0486162926917185,657.510345564016,-0.0301764604684313
516.516678577002,0.0040596557628188,658.116054311131,-0.103556591871677,642.493268606819,-0.0575147937881109,663.628413953985,-0.0298514340485143
520.131900807439,0.0034637739929711,660.706586826347,-0.0934306569343066,645.969443828393,-0.0699289973266048,669.746482343954,-0.0246510113298434
523.190935002423,0.00260305588096886,664.759452288838,-0.0745967378570785,648.611336996788,-0.0787281847946892,675.679154722106,-0.0174362273420577
525.693781161956,0.00247063770989159,668.754491017964,-0.0578467153284671,652.226559227225,-0.0884013321918837,680.017298735862,-0.0121042473941906
599.005988023952,-0.00693430656934305,670.858858414858,-0.0452793547805713,656.428664390469,-0.0935239420730995,699.780636258348,-0.00229641644889006
609.678174515167,-0.00865248866059894,673.36170457439,-0.0357651091886696,662.237943865356,-0.0856536551420304,,
622.748593348283,-0.012625033792917,675.864550733923,-0.0269261962692619,665.837920866087,-0.075044869484245,,
628.3104737028,-0.0177893424649304,680.159762778969,-0.0157698133772748,668.739245788259,-0.0621328775044306,,
631.091413880059,-0.0224901875381734,683.46578721843,-0.00995889780020623,670.580764397132,-0.0534429350274849,,
634.289495083906,-0.026826882640954,687.544499478409,-0.00547445255474451,672.805516538939,-0.0447033357363852,,
637.932526716115,-0.0339178757021417,,,675.308362698471,-0.0350301883391908,,
640.546610482738,-0.0400355952059115,,,679.900331025192,-0.0209665024581218,,
642.493268606819,-0.0448909281454113,,,682.260713141618,-0.0157534130846174,,
644.161832713175,-0.0495255641331157,,,687.057834947389,-0.00939734087290857,,
645.83039681953,-0.0542926182918974,,,698.646706586826,-0.00474452554744523,,
647.498960925885,-0.0591038118410381,,,,,,
649.445619049966,-0.0644005386841288,,,,,,
651.670371191773,-0.0702269382115286,,,,,,
655.007499404483,-0.0765168013376988,,,,,,
658.900815652645,-0.0781720284761647,,,,,,
661.820802838767,-0.0751926196269262,,,,,,
664.740790024889,-0.0703858400168213,,,,,,
666.548401140107,-0.0655591976810549,,,,,,
669.524375118077,-0.0563665855636658,,,,,,
673.083610556664,-0.0444053948514613,,,,,,
675.308362698471,-0.0359306319025162,,,,,,
676.976926804827,-0.0303690687172709,,,,,,
680.165983533619,-0.0212491113714417,,,,,,
682.353411147527,-0.0160057022418471,,,,,,
685.597841354328,-0.0112564206542309,,,,,,
692.272097779749,-0.00679863426551719,,,,,,
695.60922599246,-0.00560687072582176,,,,,,
700.179640718563,-0.00474452554744523,,,,,,
704.395209580838,-0.00419708029197079,,,,,,
708.994011976048,-0.00364963503649633,,,,,,
712.745915576255,-0.0033646481030909,,,,,,
716.466277321899,-0.00309092547535367,,,,,,
