DPPDTT,
X,Y
213.19083567415734,0.04743280385683901
229.31443117977526,0.035010584595342564
249.46892556179776,0.030541234165162523
273.22243679775283,0.026458123895615415
296.9759480337078,0.025906352237568653
320.7294592696629,0.026568478227224857
344.482970505618,0.028223793201365588
368.236481741573,0.03241725780252214
391.9899929775281,0.035065761761147396
415.7435042134832,0.03826603737781964
439.4970154494382,0.04047312401000713
463.2505266853933,0.04014206101517903
487.0040379213484,0.03727284839333489
510.7575491573034,0.03583824208241304
534.5110603932585,0.03462434443470985
558.2645716292136,0.036390013740460025
582.0180828651686,0.041245604331273
605.7715941011237,0.04863934454910157
629.5251053370787,0.0580194627358992
653.2786165730338,0.06960666755488432
677.0321278089889,0.0819663526951353
700.7856390449439,0.09487780949343327
724.539150280899,0.10624430564919951
748.2926615168541,0.11540371517277848
772.0461727528091,0.12290780972221649
795.7996839887642,0.12566666801245097
819.5531952247192,0.11948682544232558
843.3067064606743,0.11063829214559773
862.0215941011237,0.10361060532042465
898.2794943820226,0.08486920993027458
923.2048806179777,0.06962012540020246
946.9583918539327,0.052625558332357825
970.7119030898878,0.039500121793500265
998.35235252809,0.021050761646755678
1021.8179424157306,0.014172008309770723
1041.9724367977528,0.01288454110766124
1065.725948033708,0.012553478112833139
1089.479459269663,0.012553478112833139
1113.2329705056181,0.012553478112833139
1136.9864817415732,0.012553478112833139
1160.7399929775283,0.01144993479673917
1184.4935042134832,0.01133958046512995
1208.2470154494383,0.01133958046512995
1232.0005266853934,0.01133958046512995
1255.7540379213485,0.01133958046512995
1279.5075491573036,0.01133958046512995
1303.2610603932585,0.01133958046512995
1327.0145716292136,0.01133958046512995
1350.7680828651687,0.01133958046512995
1374.5215941011238,0.01133958046512995
1392.87658005618,0.013259117802351783
