nPSQ,
X,Y
500.21315544267895,-0.00137630874893091
505.77333784106935,0.00018605655309600344
511.33352023945974,0.004873152459177188
516.8937026378502,0.011030709825989637
522.6644980058766,0.021691555416291752
527.9076524604991,0.03430172985091895
532.4053478515416,0.059222786605427125
536.1793702574421,0.08538091743421838
538.544715916431,0.10913806040915941
540.6929682067182,0.1341588812019161
542.6727301212966,0.1589464076283067
544.1891435026758,0.1846217487267019
545.5677011221114,0.20972681470731303
547.0841145034907,0.23417323649197164
548.4856480832502,0.2604424177956619
550.0020614646294,0.2872323875333611
551.5184748460086,0.3144435832103324
553.0348882273879,0.34207600482657563
554.1974718197785,0.36773708904702584
556.1038200706553,0.3953791386847382
557.3773447286101,0.42395466876761123
558.8478061893414,0.44941203280652275
560.3642195707207,0.47754226689645096
561.8806329520999,0.5069438374576367
563.5914583054507,0.5366499867749113
565.3178366165594,0.5663198458574179
566.9742266177582,0.5956734614655171
567.4408153504903,0.6210679852710641
568.7044931683063,0.6443308898105924
570.3725478878234,0.6704468980454564
571.9178453336099,0.7008281197911205
572.8843505656976,0.7326950193111661
574.5174111302599,0.7638074152257026
576.1893540892164,0.7928849658336021
577.5502378930182,0.8235372534144724
579.1677454998228,0.8503609212273133
580.4747494142496,0.8779596447684148
581.8467424735927,0.9053561798586658
583.615891418535,0.929425795894012
584.879569236351,0.9502420159474901
586.3959826177303,0.9690708154329486
591.197958325431,0.9995484268026381
596.216564516186,0.9875024590328076
599.2854963594534,0.966838317954807
601.6612106569476,0.9430643259422953
603.2126181932817,0.9214301617012852
605.5066794625477,0.8963121349225426
607.5568420760674,0.8695044913692096
609.2938246765561,0.8449018330543483
610.9572842040086,0.8198764170695265
612.5962360404487,0.7902098570992716
614.0820148080627,0.7639988815617353
615.6938667938643,0.739460555935781
617.114841570821,0.7143708072620524
618.6197669720384,0.6894189143502674
620.2395721748753,0.6658455790579179
622.7618220415463,0.6435333686989041
624.3752450331822,0.6011452747857385
626.1597112850072,0.5756036655589727
628.5639393383904,0.549247882558677
630.5404610534358,0.5245510817192063
632.5623455619416,0.5033212943798975
636.1460062452863,0.4821368698340487
639.2565977968336,0.4631622613696116
644.7778978008296,0.45915383998386794
650.4272809863601,0.4694795068588564
654.6706898603034,0.4930072763811516
657.4146759789896,0.5191670483499661
660.1586620976757,0.541460294424268
662.6860177333076,0.5663727999754978
664.685683730731,0.5908520445606192
666.8922596126097,0.6130927741541808
668.5350407757703,0.6354458306648816
671.3151319749657,0.6603543245404992
674.2974116250114,0.6866893702637847
677.5000755870365,0.7055472638867126
681.0033285782217,0.7177814609279154
686.7320013523208,0.7080491358929262
690.2702992422057,0.6873970298417618
693.7697147376962,0.6649618882762284
696.3359527677223,0.6421854456932338
698.8633084033545,0.6200682757085252
700.9483768027508,0.5974231692132624
702.5817783018479,0.5755615429650456
704.5310992553989,0.5531944455897023
705.9749490818238,0.5289318314876351
707.4187989082484,0.5066911018940735
711.3419310151478,0.4604404937620078
709.5132469717084,0.4861444839329444
713.4869261913204,0.4323868462064926
715.508810699826,0.4091351743586782
717.5306952083317,0.3866417092015533
718.9745450347564,0.36490645073511807
721.2491651068251,0.34195806156357944
723.7765207424573,0.31688669365810995
726.3038763780892,0.29363502181029555
729.409266695802,0.2722030460201361
731.9366223314341,0.25016450487742514
734.7892770855838,0.23196754430087463
738.2525376629587,0.2083788917016427
742.3688702349245,0.18660151064128017
747.2434094975799,0.16322347101168422
752.3706843237983,0.14100723161792006
757.6059209976077,0.12192067248510141
761.7663820013065,0.10672303169066644
766.8852800823643,0.0945516078835118
772.6620929638088,0.08381855213219147
778.2222753621993,0.07352532190707195
783.7824577605898,0.0645187454600924
789.3426401589802,0.05689072663254846
794.9028225573707,0.05091697694832753
799.7047982650713,0.046838743990830434
